"ID","ProductName","CurrentCategories","CategoryCount","SuggestedPrimary","SuggestedKeep","RemoveThese","Action","NeedsFix"
"18806","(3 Bay) Compliant Modular Building","Cabins for Sale","1","Cabins for Sale","Cabins for Sale","","OK","NO"
"18807","(6 Bay) Euro Modular Building","Cabins for Sale","1","Cabins for Sale","Cabins for Sale","","OK","NO"
"18808","(6.5m x 2.3m) Large Flat Pack Office","Cabins for Sale | Flat Pack Cabins for Sale Flat Pack Units","2","Flat Pack Cabins for Sale","Flat Pack Units | Flat Pack Containers | Flat Pack Cabins for Sale Flat Pack Units","Cabins for Sale","Merge flat pack group","YES"
"18809","(3.3m) Flat Pack Office Linking Kit","Cabin Accessories & Furniture","1","Container Accessories","Container Accessories | Parts & Accessories","Cabin Accessories & Furniture","Merge Parts + Parts & Accessories","YES"
"18810","(4.3m) Flat Pack Office Linking Kit","Cabin Accessories & Furniture","1","Container Accessories","Container Accessories | Parts & Accessories","Cabin Accessories & Furniture","Merge Parts + Parts & Accessories","YES"
"18811","1-Trip 12Ft Standard Modified","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18812","1-Trip 20Ft Standard Ral1015","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18813","10ft Accommodation Container","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18814","10Ft X 8Ft Open Mesh Floor Bunded Store","8ft x 10ft Containers","1","10Ft Containers","10Ft Containers","8ft x 10ft Containers","OK - size category","YES"
"18815","10Ft X 8Ft Raised Bunded Store","8ft x 10ft Containers","1","10Ft Containers","10Ft Containers","8ft x 10ft Containers","OK - size category","YES"
"18816","10Ft X 8Ft Shipping Container (One Trip) – Green","8ft x 10ft Containers","1","10Ft Containers","10Ft Containers","8ft x 10ft Containers","OK - size category","YES"
"18817","10ft ModiBox Office","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18818","10ft Observation / Full Glass Unit","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18819","10ft Bar Container","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18820","10ft DNV 2.7-1 Half Height Open Top Containers","New Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"18821","10Ft X 8Ft Flat Floor Bunded Store","8ft x 10ft Containers","1","10Ft Containers","10Ft Containers","8ft x 10ft Containers","OK - size category","YES"
"18822","10Ft X 8Ft Shipping Container (One trip) – Blue","8ft x 10ft Containers","1","10Ft Containers","10Ft Containers","8ft x 10ft Containers","OK - size category","YES"
"18823","Grey New build 20ft Shipping Container","Cabins for Sale | Containers for Sale","2","Cabins for Sale","Cabins for Sale","Containers for Sale","OK","YES"
